timestamp,ax,ay,az,label
0.006,-0.7616,-0.4316,-0.3992,resting
0.008,-0.7645,-0.4379,-0.3488,resting
0.008,-0.7767,-0.4873,-0.3217,resting
0.008,-0.7715,-0.4502,-0.3876,resting
0.011,-0.7944,-0.4432,-0.4392,resting
0.011,-0.7949,-0.4779,-0.3778,resting
0.011,-0.7474,-0.6265,-0.4102,resting
0.013,-0.7834,-0.5475,-0.4114,resting
0.013,-0.8728,-0.5166,-0.3734,resting
0.013,-0.7555,-0.5114,-0.4308,resting
0.015,-0.8086,-0.4937,-0.3521,resting
0.015,-0.7377,-0.5551,-0.3464,resting
0.015,-0.7539,-0.4574,-0.4641,resting
0.015,-0.7771,-0.3821,-0.3539,resting
0.017,-0.7681,-0.3854,-0.3853,resting
0.017,-0.8057,-0.3655,-0.4741,resting
0.017,-0.8433,-0.3741,-0.4758,resting
0.019,-0.8069,-0.3933,-0.2607,resting
0.019,-0.9241,-0.4326,-0.321,resting
0.019,-0.8906,-0.3269,-0.3068,resting
0.019,-0.7871,-0.4207,-0.2891,resting
0.019,-0.8531,-0.4541,-0.3999,resting
0.019,-0.8253,-0.7053,-0.2338,resting
0.024,-0.7725,-0.4399,-0.4529,resting
0.024,-0.6592,-0.4592,-0.2302,resting
0.027,-0.7754,-0.5765,-0.4304,resting
0.027,-0.5846,-0.6241,-0.4663,resting
0.027,-0.7659,-0.5123,-0.8018,resting
0.027,-0.7086,-0.7061,-0.1729,resting
0.029,-0.761,-0.3914,-0.5735,resting
0.029,-0.9843,-0.4359,-0.3341,resting
0.029,-0.8097,-0.457,-0.3057,resting
0.031,-0.7281,-0.5083,-0.4054,resting
0.031,-0.7244,-0.5883,-0.3992,resting
0.031,-0.7294,-0.5664,-0.3767,resting
0.031,-0.7545,-0.5048,-0.3617,resting
0.033,-0.8094,-0.5052,-0.351,resting
0.033,-0.809,-0.5049,-0.3352,resting
0.033,-0.7883,-0.5234,-0.3232,resting
0.035,-0.7933,-0.5201,-0.3278,resting
0.035,-0.7867,-0.5212,-0.3071,resting
0.035,-0.7946,-0.5236,-0.3087,resting
0.035,-0.7911,-0.5048,-0.3149,resting
0.035,-0.7792,-0.5161,-0.3099,resting
0.035,-0.803,-0.515,-0.3037,resting
0.040,-0.8131,-0.511,-0.3077,resting
0.040,-0.791,-0.506,-0.2974,resting
0.040,-0.8025,-0.5151,-0.2993,resting
0.040,-0.7959,-0.5045,-0.3054,resting
0.043,-0.7965,-0.5107,-0.3037,resting
0.043,-0.7914,-0.5006,-0.2944,resting
0.043,-0.8092,-0.5135,-0.3124,resting
