timestamp,ax,ay,az
0,-0.7994,-0.5538,-0.1812
20,-0.8041,-0.5609,-0.183
40,-0.7968,-0.5588,-0.187
60,-0.8018,-0.5585,-0.1871
80,-0.7988,-0.558,-0.1869
100,-0.796,-0.5571,-0.1915
120,-0.8035,-0.5555,-0.1892
140,-0.7922,-0.557,-0.1898
160,-0.8015,-0.554,-0.1927
180,-0.7947,-0.5558,-0.1924
200,-0.7969,-0.5533,-0.193
220,-0.7975,-0.5575,-0.1992
240,-0.7944,-0.5527,-0.2017
260,-0.8018,-0.5536,-0.2054
280,-0.8,-0.5547,-0.2078
300,-0.8,-0.5563,-0.2019
320,-0.8038,-0.5432,-0.1992
340,-0.8011,-0.5487,-0.1998
360,-0.8037,-0.5503,-0.1989
380,-0.8005,-0.5519,-0.1995
400,-0.807,-0.5547,-0.1956
420,-0.7961,-0.5516,-0.1993
440,-0.7987,-0.5531,-0.1998
460,-0.7988,-0.5527,-0.2
480,-0.801,-0.5546,-0.1973
500,-0.8008,-0.5513,-0.1965
520,-0.8043,-0.5499,-0.1979
540,-0.7969,-0.5554,-0.2004
560,-0.7986,-0.5547,-0.2003
580,-0.7982,-0.5569,-0.1974
600,-0.8013,-0.5554,-0.1989
620,-0.7994,-0.5547,-0.203
640,-0.7921,-0.5579,-0.1989
660,-0.8027,-0.5562,-0.2009
680,-0.8027,-0.5587,-0.1862
700,-0.8099,-0.5543,-0.1835
720,-0.7943,-0.5601,-0.1836
740,-0.7725,-0.5786,-0.175
760,-0.7861,-0.5685,-0.1875
780,-0.7926,-0.567,-0.1891
800,-0.7957,-0.5649,-0.1805
820,-0.8025,-0.5608,-0.1815
840,-0.8064,-0.5535,-0.181
860,-0.8181,-0.5449,-0.1765
880,-0.8025,-0.5535,-0.1749
900,-0.8037,-0.5529,-0.1809
920,-0.8082,-0.5436,-0.1793
940,-0.8055,-0.5527,-0.1814
960,-0.8052,-0.5497,-0.1863
980,-0.803,-0.5535,-0.1898
1000,-0.8068,-0.5546,-0.1895
1020,-0.8021,-0.5524,-0.1948
1040,-0.7986,-0.5487,-0.1947
1060,-0.8079,-0.5483,-0.1874
1080,-0.8044,-0.5554,-0.1899
1100,-0.8025,-0.5544,-0.1896
1120,-0.7937,-0.5522,-0.1877
1140,-0.8026,-0.5548,-0.1844
1160,-0.7938,-0.5596,-0.1886
1180,-0.8008,-0.5541,-0.182
1200,-0.8005,-0.5591,-0.1836
1220,-0.8009,-0.5586,-0.1844
1240,-0.8036,-0.5579,-0.1835
1260,-0.8004,-0.5604,-0.1825
1280,-0.7982,-0.5607,-0.1803
1300,-0.8036,-0.5592,-0.1775
1320,-0.7942,-0.5669,-0.1796
1340,-0.7963,-0.5608,-0.1812
1360,-0.7963,-0.562,-0.179
1380,-0.7992,-0.5615,-0.1785
1400,-0.797,-0.5619,-0.1818
1420,-0.7959,-0.5625,-0.1835
1440,-0.7966,-0.5626,-0.1848
1460,-0.7983,-0.5669,-0.1857
1480,-0.7937,-0.5608,-0.1863
1500,-0.7968,-0.561,-0.1831
1520,-0.7979,-0.5643,-0.1833
1540,-0.7933,-0.5624,-0.187
1560,-0.8013,-0.5623,-0.1815
1580,-0.7983,-0.5626,-0.1815
1600,-0.791,-0.5618,-0.1896
1620,-0.7943,-0.5609,-0.192
1640,-0.7959,-0.5608,-0.1904
1660,-0.7961,-0.5599,-0.1898
1680,-0.7965,-0.5594,-0.2024
1700,-0.7938,-0.5609,-0.1984
1720,-0.7968,-0.5636,-0.1984
1740,-0.7942,-0.5607,-0.1934
1760,-0.7959,-0.5614,-0.1923
1780,-0.7894,-0.5651,-0.1957
1800,-0.7894,-0.5582,-0.1953
1820,-0.7963,-0.5574,-0.192
1840,-0.801,-0.5515,-0.1947
1860,-0.8025,-0.5515,-0.1984
1880,-0.8044,-0.5496,-0.2002
1900,-0.8053,-0.5536,-0.1996
1920,-0.7964,-0.5499,-0.2046
1940,-0.7977,-0.5541,-0.2068
1960,-0.7963,-0.5608,-0.2086
1980,-0.7888,-0.559,-0.2153
2000,-0.7937,-0.5546,-0.2045
2020,-0.7999,-0.5548,-0.2114
2040,-0.7976,-0.5524,-0.2062
2060,-0.8004,-0.552,-0.2045
2080,-0.7985,-0.556,-0.2051
2100,-0.7959,-0.5525,-0.205
2120,-0.7976,-0.5543,-0.2043
2140,-0.7991,-0.5547,-0.2042
2160,-0.8007,-0.5518,-0.2046
2180,-0.7966,-0.5524,-0.2087
2200,-0.797,-0.5553,-0.2065
2220,-0.7971,-0.5583,-0.2058
2240,-0.7886,-0.5599,-0.21
2260,-0.7924,-0.5576,-0.2045
2280,-0.7997,-0.5625,-0.2037
2300,-0.7844,-0.564,-0.2006
2320,-0.7948,-0.5608,-0.1978
2340,-0.7913,-0.564,-0.199
2360,-0.7968,-0.5645,-0.1976
2380,-0.7891,-0.567,-0.1991
2400,-0.7898,-0.5696,-0.2003
2420,-0.785,-0.5695,-0.2052
2440,-0.7743,-0.577,-0.208
2460,-0.7896,-0.587,-0.1989
2480,-0.7853,-0.5714,-0.2001
2500,-0.7891,-0.5773,-0.1912
2520,-0.788,-0.5699,-0.171
2540,-0.7944,-0.5608,-0.1635
2560,-0.8048,-0.5776,-0.1771
2580,-0.7855,-0.5869,-0.1788
2600,-0.7876,-0.5962,-0.1919
2620,-0.7798,-0.5851,-0.1674
2640,-0.7827,-0.5668,-0.1902
2660,-0.7946,-0.5822,-0.1786
2680,-0.785,-0.5861,-0.1923
2700,-0.7656,-0.5955,-0.2002
2720,-0.7839,-0.5876,-0.1897
2740,-0.8046,-0.5524,-0.1691
2760,-0.8271,-0.5442,-0.1688
2780,-0.7998,-0.5879,-0.1776
2800,-0.8303,-0.501,-0.207
2820,-0.7628,-0.4861,-0.2207
2840,-0.6821,-0.5692,-0.2643
2860,-0.8468,-0.5387,-0.3109
2880,-0.8501,-0.4509,-0.1213
2900,-0.9659,-0.4963,-0.2712
2920,-0.8176,-0.6158,-0.2911
2940,-0.6295,-0.6641,-0.0861
2960,-0.718,-0.6925,-0.0927
2980,-0.9436,-0.5924,-0.1613
3000,-0.9144,-0.4338,-0.0975
3020,-0.7826,-0.4349,-0.043
