timestamp,ax,ay,az
0,0.5747,0.2083,0.3195
20,-3.9062,-0.3429,1.1707
40,-2.1558,-0.2014,-0.4843
60,-1.4791,-0.1702,-0.1671
80,0.0996,-0.2532,-0.031
100,0.5533,0.0161,0.0695
120,0.4106,-0.1522,-0.427
140,-1.2917,-0.1841,-0.2532
160,-2.4514,-1.0048,-0.3711
180,-1.5743,-0.1315,0.2015
200,-1.5692,-0.0656,0.1057
220,-0.1469,-0.2327,-0.4128
240,0.1046,-0.1863,-0.8522
260,0.3262,-0.7887,0.0323
280,-0.1119,0.3097,-0.2075
300,-3.7518,-1.1849,0.8762
320,-1.9851,0.3347,-0.0319
340,-1.2239,-0.3511,-0.0199
360,-0.8978,0.0046,-0.4141
380,-0.4501,-0.0199,-0.0963
400,-0.2162,-0.3149,-0.4835
420,-1.264,-0.2368,-0.4657
440,-1.0017,-0.0597,-0.6039
460,-0.6313,-0.5498,-0.3572
480,-1.0172,-0.1039,-0.3048
500,-1.0205,-0.3553,-0.2606
520,-0.9545,-0.146,-0.1777
540,-0.9524,-0.1912,-0.1562
560,-0.9705,-0.2352,-0.1873
580,-0.9373,-0.173,-0.1267
600,-0.9108,-0.2206,-0.1322
620,-0.9203,-0.244,-0.2175
640,-0.9133,-0.3132,-0.2827
660,-0.9341,-0.3022,-0.2367
680,-0.9443,-0.2235,-0.2603
700,-0.946,-0.2388,-0.248
720,-0.9248,-0.2589,-0.2631
740,-0.9341,-0.2571,-0.2966
760,-0.9283,-0.2314,-0.2999
780,-0.9442,-0.24,-0.2745
800,-0.9254,-0.2644,-0.2682
820,-0.9031,-0.243,-0.2417
840,-0.9321,-0.2656,-0.2161
860,-0.9315,-0.2457,-0.2145
880,-0.9617,-0.2521,-0.2074
900,-0.9701,-0.2349,-0.1857
920,-0.9426,-0.2303,-0.1998
940,-0.9484,-0.2769,-0.2131
960,-0.9209,-0.2577,-0.2039
980,-0.9254,-0.2373,-0.2488
1000,-0.9415,-0.2863,-0.2085
1020,-0.9531,-0.2377,-0.2467
1040,-0.9547,-0.2744,-0.2314
1060,-0.9357,-0.2483,-0.256
1080,-0.9421,-0.3284,-0.2627
1100,-0.9557,-0.2965,-0.2346
1120,-0.9679,-0.2355,-0.1802
1140,-1.0022,-0.1417,-0.127
1160,-0.9668,-0.1816,-0.0927
1180,-0.9564,-0.2007,-0.1063
1200,-0.9641,-0.1957,-0.11
1220,-0.9962,-0.1138,-0.0901
1240,-0.9666,-0.0869,-0.1184
1260,-0.9303,-0.1482,-0.1554
1280,-0.9059,1.5582,-0.0236
1300,-0.8085,-0.0126,0.1016
1320,-1.089,-0.1608,-0.1624
1340,-0.9382,-0.0521,-0.1104
1360,-0.9879,-0.0328,-0.1239
1380,-0.9706,-0.0061,-0.1266
1400,-1.0151,-0.0577,-0.2112
1420,-0.7465,1.0026,-0.8129
1440,-1.1342,-0.162,0.0269
1460,-1.0217,-0.088,-0.1017
1480,-0.9449,-0.0809,-0.0337
1500,-0.9987,-0.1016,-0.1506
1520,-0.9784,-0.0973,-0.0714
1540,-1.004,-0.0846,-0.1077
1560,-0.9707,-0.074,-0.0769
1580,-1.006,-0.0608,-0.0715
1600,-0.9854,-0.0967,-0.0786
1620,-0.9786,-0.085,-0.1067
1640,-1.0034,-0.0934,-0.099
1660,-0.9901,-0.0966,-0.1051
1680,-0.9695,-0.0961,-0.1195
1700,-0.9875,-0.113,-0.1547
1720,-0.9608,-0.1243,-0.1643
1740,-0.9535,-0.1649,-0.1874
1760,-0.9489,-0.1975,-0.2168
1780,-1.0156,-0.1603,-0.1827
1800,-0.9911,-0.1257,-0.1952
1820,-0.9147,-0.2296,-0.204
1840,-0.873,-0.2722,-0.2653
1860,-0.8925,-0.3119,-0.2471
1880,-0.847,-0.2979,-0.3713
1900,-1.0643,-0.2253,-0.2195
1920,-1.0923,-0.2125,-0.1674
1940,-0.9452,-0.4563,-0.1941
1960,-0.8597,-0.4056,-0.2284
1980,-0.8376,-0.3209,-0.1659
2000,-1.1169,-0.3831,-0.194
2020,-0.9872,-0.2393,-0.1469
2040,-0.9641,-0.2491,-0.1616
2060,-1.0018,-0.186,-0.1909
2080,-0.9823,-0.2067,-0.1646
2100,-0.9326,-0.2244,-0.0833
2120,-0.9423,-0.2369,-0.0889
2140,-0.8881,-0.0973,-0.0951
2160,-0.9952,-0.0193,-0.1075
2180,-1.0471,0.0438,-0.1799
2200,-1.0031,-0.0737,-0.1606
2220,-0.9728,-0.1429,-0.2302
2240,-0.9396,-0.1584,-0.2526
2260,-0.9304,-0.1895,-0.2733
2280,-0.9309,-0.1537,-0.2653
2300,-0.9063,-0.1204,-0.2802
2320,-0.8412,-0.1978,-0.308
2340,-0.8297,-0.3328,-0.4551
2360,-0.9644,-0.4235,-0.6411
2380,-0.9727,-0.1771,-0.4286
2400,-0.9211,-0.0273,-0.2761
2420,-0.8856,-0.0187,-0.3228
2440,-0.8309,-0.2321,-0.3088
2460,-0.8439,-0.1631,-0.3453
2480,-0.8169,-0.1956,-0.384
2500,-1.0211,-0.1801,-0.3075
2520,-1.0233,-0.2626,-0.3409
2540,-0.8585,-0.2594,-0.2855
2560,-0.9169,-0.3228,-0.2969
2580,-0.9692,-0.2687,-0.2054
2600,-0.9391,-0.29,-0.2006
2620,-0.9194,-0.2506,-0.1307
2640,-1.0076,-0.2222,-0.1199
2660,-0.9901,-0.1929,-0.1118
2680,-0.984,-0.1632,-0.0507
2700,-0.9911,-0.1533,-0.0408
2720,-0.9591,-0.2196,-0.0906
2740,-0.9407,-0.2372,-0.0872
2760,-0.939,-0.3574,-0.178
2780,-0.8928,-0.4139,-0.1931
2800,-0.9436,-0.3248,-0.1799
2820,-0.9884,-0.1583,-0.0808
2840,-0.9871,-0.1577,-0.1062
2860,-0.9576,-0.2236,-0.114
2880,-0.9349,-0.2891,-0.1149
2900,-0.9686,-0.3351,-0.1414
2920,-0.9296,-0.3291,-0.1285
2940,-0.9259,-0.3256,-0.1344
2960,-0.9364,-0.351,-0.1573
2980,-0.905,-0.4022,-0.1835
3000,-0.9426,-0.3315,-0.1324
3020,-0.9636,-0.2311,-0.1102
3040,-0.9542,-0.1853,-0.1074
3060,-0.9473,-0.1665,-0.1218
3080,-0.9573,-0.1952,-0.1298
3100,-0.9286,-0.1857,-0.1609
3120,-0.9912,-0.0857,-0.1368
3140,-1.0731,-0.0049,-0.0804
3160,-1.0007,-0.116,-0.1951
3180,-0.9293,-0.1721,-0.2516
3200,-0.9364,-0.1436,-0.2493
3220,-0.9974,-0.0917,-0.2697
3240,-0.9819,-0.0847,-0.2836
3260,-0.9452,-0.1172,-0.2909
3280,-0.9591,-0.0912,-0.2808
3300,-0.9387,-0.0968,-0.2412
3320,-0.978,0.0114,-0.48
3340,-0.8629,-0.3109,-0.4565
3360,-0.8417,-0.2263,-0.4583
3380,-0.8517,-0.0023,-0.3409
3400,-0.9641,-0.022,-0.3931
3420,-0.9357,-0.0583,-0.3298
3440,-0.8013,-0.2487,-0.4711
3460,-0.8378,-0.2782,-0.4751
3480,-0.9094,-0.233,-0.4634
3500,-0.9565,-0.1211,-0.4921
3520,-0.9659,0.0074,-0.4562
3540,-1.0045,0.1591,-0.2271
3560,-0.9658,0.0524,-0.2717
3580,-0.7574,-0.3245,-0.4031
3600,-0.7004,-0.3673,-0.4962
3620,-0.8885,-0.3066,-0.3831
3640,-1.0833,-0.1825,-0.2499
3660,-1.1079,-0.1915,-0.1199
3680,-0.9283,-0.2943,-0.1674
3700,-0.7743,-0.2666,-0.1351
3720,-0.7145,-0.3129,-0.1915
3740,-0.8361,-0.4292,-0.2843
3760,-1.0417,-0.4958,-0.1877
3780,-1.3191,-0.6069,-0.2183
3800,-1.5244,-0.3542,-0.0608
3820,-1.4747,-0.0762,0.0559
3840,-0.9102,-0.1207,0.0022
3860,0.0654,-0.2445,-0.2131
3880,0.1115,-0.2662,-0.6736
3900,-0.0161,-0.3003,-0.0513
3920,-1.6014,-0.4615,-0.5977
3940,-2.4843,-0.1614,0.808
3960,-1.8639,0.2745,-0.2853
3980,-0.9515,-0.1849,-0.0771
4000,-0.0404,-0.0568,-0.1562
4020,0.4259,-0.1736,-0.1364
4040,0.5604,-0.5955,-0.1753
4060,-1.4684,-0.3405,0.4453
4080,-2.2231,-0.9706,0.0291
4100,-1.3434,-0.4703,-0.2334
4120,-1.5466,0.067,0.2476
4140,-0.7172,-0.2791,-0.1802
4160,0.1158,-0.1107,-0.2701
4180,0.2804,-0.2826,-0.6302
4200,-0.0647,-0.1306,-0.0634
4220,-2.3956,-0.1765,-1.0117
4240,-1.7566,-0.4734,-0.2339
4260,-1.8536,0.4061,0.0975
4280,-0.8424,-0.6104,-0.5803
4300,-0.5078,-0.0522,-0.0713
4320,0.0326,0.231,-0.1246
4340,0.8823,0.0193,0.0137
4360,-0.4644,-0.7184,-0.083
4380,-3.9995,-1.1078,-0.2979
4400,-1.4329,-0.7045,-0.3657
4420,-1.9479,-0.3787,0.1726
4440,-1.6396,0.0431,-0.119
4460,-0.5084,-0.1438,-0.3403
4480,0.3827,-0.2178,-0.1515
4500,0.0045,-0.2898,-0.4987
4520,0.0419,-0.2245,0.1073
4540,-1.0444,-0.3123,-0.4958
4560,-3.9987,1.3949,-0.4548
4580,-2.0126,0.0695,-0.47
4600,-1.2159,-1.0896,-0.6283
4620,-0.7109,-0.3931,-0.1726
4640,-0.0099,-0.021,-0.1698
4660,0.6147,-0.056,0.0284
4680,0.3629,-0.0977,-0.0071
4700,-1.6809,0.3788,-0.1924
4720,-1.4207,-0.7397,-0.0525
4740,-1.1823,-0.3596,0.0493
4760,-1.8942,-0.3408,0.0271
4780,-0.714,-0.0801,-0.1901
4800,0.1,-0.1371,0.0402
4820,1.0566,-1.0282,-0.2966
4840,-0.2313,0.394,-0.4794
4860,-3.9995,-1.8522,0.5767
4880,-1.5593,-0.4246,-0.6995
4900,-1.7428,-0.5277,-0.4082
4920,-0.8127,-0.2067,-0.2301
4940,-0.0502,-0.3051,0.214
4960,0.4696,0.1968,-0.1841
4980,0.7456,-0.0637,0.2434
5000,-0.7345,0.3003,-0.3048
5020,-3.9995,-0.0193,0.0582
5040,-1.6177,-0.6945,-0.1444
5060,-1.7692,-0.0735,0.1462
5080,-0.9685,0.0076,0.109
5100,-0.2001,0.124,-0.3424
5120,0.6631,-0.6145,-0.1903
5140,0.1149,-0.3745,-0.2483
5160,-0.7266,0.2402,-0.2432
5180,-3.2163,-0.4713,0.303
5200,-2.2229,-0.1908,-0.5116
5220,-1.3754,-0.0809,-0.1067
5240,-0.285,-0.3274,-0.2185
5260,0.2555,-0.2565,0.1511
5280,0.4014,-0.0531,-0.2603
5300,0.0272,-0.1177,-0.0743
5320,-2.9481,-0.8162,0.8201
5340,-1.6655,-1.0039,-0.0287
5360,-1.6718,0.1331,0.5559
5380,-1.1685,-0.0029,0.1023
5400,-0.1818,-0.0361,-0.4723
5420,0.0526,-0.7096,-0.1912
5440,0.6998,-0.3143,0.0728
5460,-0.9755,-0.2836,-0.701
5480,-3.9995,1.4814,-0.459
5500,-2.0106,0.1943,-0.2994
5520,-1.0078,-0.3149,-0.2203
5540,-0.3888,-0.149,-0.16
5560,0.1179,-0.3564,0.1127
5580,0.2295,-0.1113,-0.0634
