timestamp,ax,ay,az,label
0.004,-1.0353,-0.0068,-0.1224,running
0.004,-2.8014,-0.8083,0.5792,running
0.005,-1.3213,-1.0787,-0.0717,running
0.006,-1.5454,0.0198,-0.2462,running
0.007,-0.6427,0.0221,-0.1117,running
0.007,0.0355,-0.3158,-0.4282,running
0.008,0.2533,-0.7423,0.2255,running
0.009,0.4498,-0.2158,0.2501,running
0.010,-1.9327,0.0238,-0.132,running
0.011,-1.9186,-0.0623,-0.752,running
0.013,-1.8407,-0.4442,-0.2421,running
0.015,-0.9941,-0.5946,-0.1172,running
0.016,-0.1938,-0.1749,0.0367,running
0.017,0.5591,0.3712,0.0966,running
0.019,0.3301,-0.0046,-0.0886,running
0.020,-0.6167,-0.1149,-0.0061,running
0.021,-3.9995,-0.2479,0.6637,running
0.022,-1.3081,-1.1555,0.0165,running
0.024,-2.0939,-0.2377,0.1875,running
0.025,-1.3137,-0.4834,-0.1129,running
0.026,-0.3048,-0.009,-0.1996,running
0.028,0.1118,-0.7606,-0.457,running
0.028,0.8442,-0.4891,0.418,running
0.029,-0.3282,-0.1428,0.0574,running
0.030,-3.9995,-1.0317,0.8097,running
0.030,-2.5447,0.0601,-0.3036,running
0.031,-1.5344,-0.3596,-0.0576,running
0.032,-0.2906,-0.5485,0.1133,running
0.033,0.3145,0.1333,0.2219,running
0.033,0.2977,0.1364,-0.2273,running
0.034,-0.2111,-0.0684,-0.0001,running
0.034,-3.3898,-0.8362,1.3729,running
0.035,-1.2755,-1.4854,0.2294,running
0.035,-2.011,-0.0403,0.418,running
0.036,-1.3376,0.1707,-0.0414,running
0.037,-0.6338,0.3107,-0.2372,running
0.038,0.1572,-0.3153,-0.2477,running
0.038,0.6538,-0.6083,0.5645,running
0.039,0.1537,-0.5493,-0.3683,running
0.040,-2.7506,-0.7581,1.0142,running
0.040,-2.5042,-0.0961,-0.7488,running
0.041,-1.3077,-0.5996,-0.1384,running
0.043,-0.4889,-0.4039,0.1191,running
0.045,0.1995,-0.0231,0.0829,running
0.046,0.5227,0.1722,-0.0879,running
0.047,0.145,-0.4943,-0.6198,running
0.048,-1.9888,1.4357,1.1317,running
0.049,-1.7727,-1.7328,0.0724,running
0.050,-1.4697,-0.3474,0.2786,running
0.051,-1.3925,-0.0948,-0.191,running
0.053,-0.1788,0.0571,-0.1724,running
0.054,0.2814,-0.8951,-0.1699,running
0.055,0.9374,-1.0461,-0.1417,running
0.056,-0.415,-0.15,0.0415,running
0.057,-3.9995,-0.2972,0.2325,running
0.059,-2.2593,-0.5896,-0.1667,running
0.060,-0.9658,-0.3162,0.1638,running
0.061,-0.0671,-0.1564,0.0807,running
0.062,0.8898,0.4147,-0.1088,running
0.063,0.3436,-0.3347,-0.2434,running
0.065,-1.4694,0.7854,-0.111,running
0.066,-3.1235,-1.4172,1.3556,running
0.066,-1.2428,-0.4698,-0.0933,running
0.068,-1.6246,-0.5937,-0.2628,running
0.068,-0.2571,-0.0933,0.2783,running
0.069,-0.1399,-1.1163,-0.1012,running
0.069,1.369,-1.6653,0.1038,running
