timestamp,ax,ay,az,label
0.009,-1.2186,-0.3157,-0.4878,walking
0.009,-1.1281,-0.2932,-0.7087,walking
0.009,-0.7462,-0.1492,-0.183,walking
0.009,-0.5773,-0.4277,-0.2538,walking
0.009,-0.7184,-0.5616,-0.5122,walking
0.012,-0.6547,-0.4386,-0.6305,walking
0.014,-0.5684,-0.3478,-0.6097,walking
0.014,-0.5126,-0.5253,-0.7032,walking
0.014,-0.5764,-0.3751,-0.6906,walking
0.017,-0.6573,-0.1561,-0.6342,walking
0.017,-0.6216,-0.2361,-0.5034,walking
0.017,-1.127,-0.8182,-0.1964,walking
0.017,-0.5,-0.4041,-0.2664,walking
0.020,-0.9789,-0.4569,-0.1984,walking
0.020,-1.006,-0.4634,-0.3523,walking
0.020,-0.8311,-0.4863,-0.2897,walking
0.020,-0.7529,-0.4912,-0.3525,walking
0.020,-0.7372,-0.546,-0.3125,walking
0.020,-0.7495,-0.4923,-0.4216,walking
0.020,-0.7278,-0.4858,-0.4553,walking
0.026,-0.7822,-0.4774,-0.3898,walking
0.026,-0.8195,-0.4752,-0.4091,walking
0.026,-0.8263,-0.4808,-0.3993,walking
0.026,-0.7374,-0.5721,-0.3947,walking
0.026,-0.7472,-0.5107,-0.3788,walking
0.026,-0.7894,-0.396,-0.3867,walking
0.030,-0.8231,-0.4236,-0.4434,walking
0.030,-0.8007,-0.4463,-0.4615,walking
0.030,-0.7913,-0.4081,-0.4283,walking
0.030,-0.8289,-0.3516,-0.4017,walking
0.030,-0.8517,-0.3453,-0.4252,walking
0.030,-0.8073,-0.3867,-0.4535,walking
0.030,-0.8164,-0.3661,-0.4489,walking
0.030,-0.8241,-0.3456,-0.4498,walking
0.030,-0.8428,-0.3311,-0.4462,walking
0.036,-0.8394,-0.3444,-0.4158,walking
0.036,-0.87,-0.338,-0.4194,walking
0.038,-0.8206,-0.3552,-0.4211,walking
0.038,-0.8242,-0.3646,-0.4181,walking
0.038,-0.8563,-0.3475,-0.417,walking
0.041,-0.8408,-0.3304,-0.3987,walking
0.041,-0.8514,-0.3228,-0.426,walking
0.041,-0.8405,-0.3409,-0.4208,walking
0.041,-0.8306,-0.3453,-0.4302,walking
0.043,-0.8268,-0.3423,-0.4373,walking
0.043,-0.8179,-0.3549,-0.4601,walking
0.043,-0.8175,-0.3466,-0.4598,walking
0.043,-0.822,-0.3376,-0.4575,walking
0.043,-0.821,-0.3293,-0.4573,walking
0.043,-0.8184,-0.3409,-0.4675,walking
0.043,-0.84,-0.3257,-0.4547,walking
0.043,-0.8459,-0.3094,-0.4268,walking
0.043,-0.8406,-0.3334,-0.4366,walking
0.043,-0.8296,-0.3317,-0.4406,walking
0.043,-0.8381,-0.3306,-0.4415,walking
0.043,-0.8469,-0.3326,-0.4332,walking
0.043,-0.8402,-0.335,-0.4283,walking
0.043,-0.8359,-0.3351,-0.426,walking
0.052,-0.839,-0.3344,-0.4312,walking
0.052,-0.8265,-0.3488,-0.4283,walking
0.055,-0.851,-0.3418,-0.4149,walking
0.055,-0.8392,-0.3394,-0.4125,walking
0.058,-0.8477,-0.3483,-0.4144,walking
0.058,-0.8494,-0.3496,-0.4089,walking
0.058,-0.8407,-0.3489,-0.41,walking
0.058,-0.8418,-0.3472,-0.407,walking
0.062,-0.8481,-0.3519,-0.3984,walking
0.063,-0.8441,-0.354,-0.3987,walking
0.063,-0.8367,-0.3615,-0.3965,walking
0.063,-0.8512,-0.3555,-0.4008,walking
0.063,-0.8448,-0.3594,-0.3898,walking
0.063,-0.8501,-0.3553,-0.3931,walking
0.063,-0.8453,-0.3654,-0.3888,walking
0.063,-0.8486,-0.3668,-0.3851,walking
0.063,-0.8444,-0.3655,-0.3925,walking
0.063,-0.8373,-0.3679,-0.4004,walking
0.068,-0.8428,-0.3647,-0.3972,walking
0.068,-0.8435,-0.3662,-0.4005,walking
0.071,-0.8542,-0.3594,-0.3949,walking
0.071,-0.8442,-0.3558,-0.3938,walking
0.071,-0.8384,-0.3644,-0.4067,walking
0.073,-0.8356,-0.3596,-0.4054,walking
0.073,-0.8447,-0.3473,-0.406,walking
0.073,-0.8431,-0.3582,-0.4004,walking
0.075,-0.8398,-0.3563,-0.3975,walking
0.075,-0.8507,-0.349,-0.3906,walking
0.075,-0.8486,-0.3552,-0.3966,walking
0.075,-0.8439,-0.3588,-0.4015,walking
0.075,-0.84,-0.3625,-0.4055,walking
0.079,-0.8499,-0.3519,-0.3975,walking
0.080,-0.8496,-0.3472,-0.4034,walking
0.081,-0.8445,-0.3539,-0.4008,walking
0.082,-0.8501,-0.3477,-0.3937,walking
0.082,-0.851,-0.3529,-0.3921,walking
0.084,-0.8521,-0.3562,-0.3939,walking
0.084,-0.84,-0.3512,-0.3954,walking
0.086,-0.8458,-0.3536,-0.4014,walking
0.088,-0.8431,-0.3545,-0.4016,walking
0.088,-0.8448,-0.3551,-0.4,walking
0.090,-0.8481,-0.3457,-0.406,walking
0.091,-0.8499,-0.3556,-0.3962,walking
0.092,-0.8516,-0.3552,-0.3942,walking
0.094,-0.8563,-0.3488,-0.3882,walking
0.095,-0.8469,-0.3523,-0.3877,walking
0.096,-0.8481,-0.3528,-0.3945,walking
0.097,-0.8513,-0.3555,-0.3849,walking
0.097,-0.8483,-0.3575,-0.3892,walking
0.098,-0.8553,-0.3535,-0.3824,walking
0.098,-0.8496,-0.3578,-0.3879,walking
0.099,-0.8466,-0.3627,-0.3873,walking
0.100,-0.849,-0.3623,-0.3796,walking
0.101,-0.8518,-0.365,-0.3817,walking
0.103,-0.8473,-0.3629,-0.3861,walking
0.104,-0.8435,-0.3696,-0.3678,walking
0.105,-0.8428,-0.3787,-0.3776,walking
0.106,-0.8527,-0.3734,-0.3635,walking
0.107,-0.8513,-0.3656,-0.3621,walking
0.108,-0.8511,-0.3706,-0.3674,walking
