timestamp,ax,ay,az
0,-0.7241,0.052,0.0298
20,-0.5585,-0.0326,0.0898
40,-0.6536,0.0762,-0.0304
60,-0.8507,0.2649,-0.2438
80,-1.4972,0.1595,-0.292
100,-1.0038,0.1311,-0.3733
120,-1.3191,0.2581,0.3754
140,-0.9031,-0.2449,0.0732
160,-0.7893,-0.0254,0.2399
180,-1.2036,-0.0665,-0.0625
200,-0.8405,0.0464,0.295
220,-0.9165,0.0798,0.2815
240,-0.936,0.0261,0.0886
260,-0.9613,0.1017,0.0219
280,-0.903,0.0542,-0.1064
300,-0.9736,-0.0222,0.058
320,-1.1066,0.0128,0.2162
340,-1.0969,-0.0464,0.2565
360,-1.2068,0.0725,0.3273
380,-1.356,0.2312,-0.1302
400,-0.941,-0.0527,-0.142
420,-0.7238,0.022,0.0283
440,-0.7491,0.1007,-0.0618
460,-0.8535,0.1044,-0.1637
480,-1.0195,-0.0341,-0.2571
500,-1.1718,0.1984,-0.0193
520,-1.2168,0.236,0.2788
540,-0.938,0.0082,0.3168
560,-0.9248,-0.0657,-0.0658
580,-0.9333,-0.2289,0.0479
600,-1.1154,-0.0293,0.1431
620,-0.9149,-0.0411,0.0778
640,-0.9098,-0.0381,0.1219
660,-1.0336,0.0468,0.1123
680,-0.9697,-0.0071,0.1232
700,-1.0073,0.0367,0.287
720,-0.903,0.0586,0.1646
740,-1.0226,0.05,-0.082
760,-1.0062,0.041,0.13
780,-0.9575,0.0864,0.3961
800,-0.9655,0.1199,0.3905
820,-0.9644,0.089,0.2587
840,-0.9855,0.0701,0.1846
860,-0.9545,0.0742,0.1782
880,-0.9696,0.0768,0.1439
900,-0.9994,0.0623,0.1616
920,-0.9824,0.0702,0.1289
940,-0.9611,0.0947,0.1675
960,-0.9714,0.0808,0.2009
980,-0.9906,0.0721,0.1843
1000,-0.9768,0.0834,0.1923
1020,-0.9716,0.0952,0.1469
1040,-0.9812,0.0906,0.1389
1060,-0.9889,0.0719,0.1339
1080,-0.9744,0.0768,0.1151
1100,-0.9822,0.0741,0.1266
1120,-0.9733,0.0845,0.1344
1140,-0.981,0.0776,0.1328
1160,-0.984,0.0817,0.1613
1180,-0.9843,0.0836,0.162
1200,-0.9802,0.0812,0.1659
1220,-0.9813,0.0817,0.1465
1240,-0.9836,0.0767,0.1465
1260,-0.9783,0.0773,0.1443
1280,-0.9795,0.0764,0.1499
1300,-0.9854,0.0688,0.1428
1320,-0.9758,0.0747,0.1821
1340,-0.9397,0.0718,0.1814
1360,-0.991,0.0784,0.1417
1380,-1.0031,0.0736,0.0394
1400,-1.0042,0.0844,0.037
1420,-0.9482,-0.0552,0.0814
1440,-0.973,-0.0404,0.0475
1460,-0.9865,0.0894,0.1597
1480,-1.0234,0.0652,0.1349
1500,-0.9789,0.0369,0.0215
1520,-0.967,0.0068,-0.0162
1540,-1.0447,-0.0173,0.0146
1560,-1.0135,0.0021,-0.0142
1580,-1.0391,-0.0488,-0.0291
1600,-1.2756,-0.0874,0.1323
1620,-1.198,0.1002,0.4696
1640,-0.7052,-0.0076,0.313
1660,-1.1093,0.1528,0.0361
1680,-1.1799,0.033,0.2213
